Time  Force
27.506  40.0
27.521  40.0
27.539  40.0
27.554  40.0
27.572  40.0
27.587  40.0
27.607  40.0
27.62  40.0
27.645  40.0
27.664  40.0
27.681  40.0
27.696  40.0
27.713  40.0
27.729  40.0
27.746  40.0
27.763  40.0
27.78  40.0
27.815  40.0
27.822  40.0
27.84  40.0
27.855  40.0
27.873  40.0
27.891  40.0
27.905  40.0
27.923  40.0
27.94  40.0
27.959  40.0
27.977  40.0
27.996  40.0
28.006  40.0
28.021  40.0
28.04  40.0
28.056  40.0
28.073  40.0
28.089  40.0
28.106  40.0
28.122  40.0
28.14  40.0
28.156  40.0
28.174  40.0
28.189  40.0
28.207  40.0
28.223  40.0
28.242  40.0
28.256  40.0
28.274  39.0
28.292  39.0
28.317  39.0
28.328  39.0
28.343  39.0
28.359  39.0
28.377  39.0
28.394  39.0
28.411  39.0
28.427  39.0
28.443  39.0
28.46  39.0
28.476  40.0
28.493  40.0
28.51  40.0
28.527  40.0
28.544  40.0
28.561  40.0
28.577  40.0
28.593  40.0
28.61  40.0
28.628  40.0
28.65  40.0
28.66  40.0
28.675  40.0
28.693  40.0
28.71  40.0
28.729  40.0
28.744  40.0
28.761  40.0
28.777  40.0
28.795  40.0
28.81  40.0
28.831  40.0
28.847  40.0
28.864  40.0
28.878  40.0
28.893  40.0
28.909  40.0
28.926  40.0
28.944  40.0
28.961  40.0
28.977  40.0
28.995  40.0
29.014  40.0
29.027  40.0
29.044  40.0
29.064  40.0
29.084  40.0
29.095  40.0
29.111  40.0
29.128  40.0
29.145  40.0
29.162  40.0
29.178  40.0
29.194  40.0
29.211  40.0
29.228  40.0
29.244  40.0
29.266  40.0
29.277  40.0
29.294  40.0
29.311  40.0
29.33  40.0
29.345  40.0
29.36  40.0
29.377  40.0
29.394  40.0
29.41  40.0
29.428  40.0
29.444  40.0
29.461  40.0
29.478  40.0
29.494  40.0
29.511  40.0
29.528  40.0
29.544  40.0
29.561  40.0
29.578  40.0
29.594  40.0
29.611  40.0
29.628  40.0
29.644  40.0
29.661  40.0
29.678  40.0
29.695  40.0
29.711  40.0
29.728  40.0
29.745  40.0
29.761  40.0
29.778  40.0
29.795  40.0
29.811  40.0
29.828  40.0
29.85  40.0
29.861  40.0
29.878  40.0
29.894  40.0
29.911  40.0
29.928  40.0
29.945  40.0
29.961  40.0
29.978  40.0
29.995  40.0
30.01  40.0
30.028  40.0
30.045  40.0
30.06  40.0
30.078  40.0
30.095  40.0
30.115  40.0
30.128  40.0
30.143  40.0
30.16  40.0
30.177  40.0
30.194  40.0
30.211  40.0
30.228  40.0
30.245  40.0
30.261  40.0
30.277  40.0
30.295  40.0
30.312  40.0
30.328  40.0
30.347  40.0
30.361  40.0
30.377  40.0
30.395  40.0
30.412  40.0
30.428  40.0
30.446  40.0
30.462  40.0
30.479  40.0
30.496  39.0
30.511  39.0
30.529  39.0
30.546  39.0
30.562  39.0
30.579  39.0
30.596  39.0
30.613  39.0
30.629  39.0
30.646  39.0
30.663  39.0
30.678  39.0
30.697  40.0
30.711  40.0
30.732  40.0
30.744  40.0
30.761  40.0
30.778  40.0
30.796  40.0
30.811  40.0
30.828  40.0
30.845  40.0
30.866  40.0
30.88  40.0
30.897  37.0
30.911  37.0
30.928  37.0
30.945  37.0
30.962  37.0
30.978  37.0
30.996  37.0
31.011  37.0
31.028  37.0
31.045  37.0
31.062  37.0
31.078  37.0
31.094  38.0
31.113  38.0
31.129  38.0
31.146  38.0
31.161  38.0
31.179  38.0
31.195  38.0
31.212  38.0
31.229  38.0
31.245  38.0
31.262  38.0
31.279  37.0
31.297  37.0
31.311  37.0
31.328  37.0
31.345  37.0
31.363  37.0
31.382  37.0
31.395  37.0
31.411  37.0
31.428  37.0
31.445  37.0
31.462  37.0
31.478  37.0
31.495  37.0
31.512  37.0
31.53  37.0
31.545  37.0
31.562  37.0
31.579  37.0
31.595  37.0
31.612  37.0
31.629  37.0
31.646  37.0
31.662  37.0
31.679  37.0
31.695  37.0
31.712  37.0
31.728  37.0
31.745  37.0
31.761  37.0
31.779  37.0
31.796  37.0
31.811  37.0
31.829  37.0
31.846  37.0
31.862  37.0
31.882  37.0
31.901  37.0
31.913  37.0
31.929  37.0
31.945  37.0
31.965  37.0
31.979  37.0
31.998  37.0
32.015  37.0
32.031  37.0
32.045  37.0
32.063  37.0
32.08  37.0
32.095  37.0
32.114  37.0
32.129  37.0
32.148  37.0
32.162  37.0
32.179  37.0
32.196  37.0
32.212  37.0
32.229  37.0
32.246  37.0
32.263  37.0
32.28  37.0
32.297  38.0
32.312  38.0
32.329  38.0
32.346  38.0
32.361  38.0
32.385  38.0
32.404  38.0
32.416  38.0
32.43  38.0
32.449  38.0
32.463  38.0
32.48  38.0
32.497  37.0
32.513  37.0
32.53  37.0
32.547  37.0
32.564  37.0
32.58  37.0
32.597  37.0
32.614  37.0
32.631  37.0
32.648  37.0
32.665  37.0
32.681  37.0
32.698  37.0
32.713  37.0
32.731  37.0
32.748  37.0
32.765  37.0
32.781  37.0
32.798  37.0
32.814  37.0
32.83  37.0
32.848  37.0
32.864  37.0
32.881  37.0
32.899  37.0
32.918  37.0
32.931  37.0
32.947  37.0
32.964  37.0
