Time  Force1  Force2
13.295  668.0  1008.0
13.315  671.0  864.0
13.315  671.0  864.0
13.334  667.0  918.0
13.355  671.0  972.0
13.375  688.0  1009.0
13.394  690.0  878.0
13.394  690.0  878.0
13.414  682.0  936.0
13.434  683.0  975.0
13.455  703.0  1010.0
13.474  711.0  902.0
13.495  713.0  962.0
13.495  713.0  962.0
13.514  725.0  995.0
13.535  740.0  1023.0
13.575  716.0  950.0
13.575  716.0  950.0
13.575  716.0  950.0
13.615  727.0  1011.0
13.635  718.0  912.0
13.655  692.0  956.0
13.655  692.0  956.0
13.674  694.0  987.0
13.696  711.0  1011.0
13.715  702.0  913.0
13.734  696.0  945.0
13.734  696.0  945.0
13.755  707.0  989.0
13.775  730.0  1023.0
13.795  726.0  938.0
13.795  726.0  938.0
13.814  717.0  973.0
13.836  725.0  1000.0
13.855  722.0  901.0
13.875  720.0  954.0
13.875  720.0  954.0
13.895  725.0  973.0
13.915  724.0  997.0
13.935  718.0  1007.0
13.956  751.0  952.0
13.956  751.0  952.0
13.975  724.0  959.0
14.014  688.0  995.0
14.035  696.0  1004.0
14.035  696.0  1004.0
14.055  759.0  980.0
14.075  758.0  1001.0
14.096  790.0  938.0
14.115  749.0  949.0
14.115  749.0  949.0
14.135  727.0  966.0
14.155  719.0  983.0
14.176  706.0  1000.0
14.195  739.0  951.0
14.215  727.0  977.0
14.235  723.0  985.0
14.235  723.0  985.0
14.255  705.0  995.0
14.297  806.0  1008.0
14.316  838.0  954.0
14.316  838.0  954.0
14.336  822.0  981.0
14.357  822.0  1006.0
14.396  772.0  955.0
14.396  772.0  955.0
14.416  781.0  991.0
14.437  798.0  1023.0
14.456  797.0  948.0
14.477  782.0  1000.0
14.477  782.0  1000.0
14.497  769.0  846.0
14.517  745.0  898.0
14.536  737.0  940.0
14.557  732.0  979.0
14.577  745.0  1016.0
14.597  746.0  907.0
14.597  746.0  907.0
14.617  731.0  953.0
14.637  730.0  989.0
14.657  742.0  1022.0
14.657  742.0  1022.0
14.676  743.0  920.0
14.697  735.0  968.0
14.716  736.0  996.0
14.716  736.0  996.0
14.737  749.0  1023.0
14.777  743.0  975.0
14.797  747.0  1010.0
14.797  747.0  1010.0
14.818  746.0  893.0
14.837  730.0  941.0
14.857  726.0  979.0
14.857  726.0  979.0
14.877  734.0  1015.0
14.898  735.0  906.0
14.917  727.0  952.0
14.937  729.0  984.0
14.937  729.0  984.0
14.958  743.0  1018.0
14.978  751.0  925.0
14.997  746.0  968.0
15.019  751.0  1000.0
15.019  751.0  1000.0
15.038  752.0  884.0
15.057  735.0  931.0
15.098  740.0  1015.0
15.098  740.0  1015.0
15.118  741.0  900.0
15.137  733.0  952.0
15.158  731.0  990.0
15.178  745.0  1021.0
15.198  745.0  911.0
15.218  736.0  954.0
15.238  735.0  992.0
15.238  735.0  992.0
15.258  751.0  1023.0
15.278  755.0  930.0
15.278  755.0  930.0
15.298  746.0  967.0
15.319  743.0  1002.0
15.358  734.0  925.0
15.378  734.0  973.0
15.378  734.0  973.0
15.398  751.0  1005.0
15.419  752.0  907.0
15.438  746.0  951.0
15.438  746.0  951.0
15.458  749.0  981.0
15.478  761.0  1011.0
15.499  764.0  918.0
15.518  759.0  964.0
15.538  761.0  991.0
15.538  761.0  991.0
15.559  764.0  1023.0
15.579  754.0  937.0
15.598  735.0  966.0
15.639  743.0  1023.0
15.639  743.0  1023.0
15.659  735.0  931.0
15.678  718.0  967.0
15.699  720.0  1006.0
15.719  713.0  880.0
15.719  713.0  880.0
15.738  695.0  933.0
15.759  693.0  966.0
15.778  706.0  994.0
15.778  706.0  994.0
15.799  724.0  1023.0
15.819  719.0  939.0
15.839  715.0  975.0
15.859  727.0  1007.0
15.859  727.0  1007.0
15.879  716.0  908.0
15.899  703.0  948.0
15.919  704.0  983.0
15.919  704.0  983.0
15.96  705.0  930.0
15.979  688.0  968.0
16.0  690.0  1012.0
16.02  668.0  874.0
16.02  668.0  874.0
16.038  634.0  994.0
16.059  615.0  1023.0
16.078  618.0  1023.0
16.078  618.0  1023.0
16.098  597.0  1023.0
16.118  584.0  1023.0
16.139  630.0  1023.0
16.158  639.0  497.0
16.158  639.0  497.0
16.177  605.0  641.0
16.196  410.0  750.0
16.236  353.0  819.0
16.256  321.0  815.0
16.256  321.0  815.0
16.275  329.0  842.0
16.295  288.0  887.0
16.315  262.0  929.0
16.334  219.0  923.0
16.334  219.0  923.0
16.355  171.0  919.0
16.373  36.0  653.0
16.406  0.0  0.0
16.406  0.0  0.0
16.422  294.0  0.0
16.44  901.0  283.0
16.457  915.0  743.0
16.477  744.0  902.0
16.477  744.0  902.0
16.497  624.0  913.0
16.517  556.0  936.0
16.536  487.0  920.0
16.536  487.0  920.0
16.576  345.0  933.0
16.595  307.0  938.0
16.616  228.0  988.0
16.635  158.0  972.0
16.635  158.0  972.0
16.654  95.0  714.0
16.671  0.0  258.0
16.703  263.0  0.0
16.72  885.0  256.0
16.72  885.0  256.0
16.738  886.0  690.0
16.758  737.0  913.0
16.778  647.0  994.0
16.798  554.0  1011.0
16.798  554.0  1011.0
16.82  789.0  1005.0
16.839  831.0  994.0
16.86  831.0  1019.0
16.88  899.0  971.0
16.88  899.0  971.0
16.9  891.0  1023.0
16.919  872.0  1023.0
16.94  844.0  1023.0
16.96  907.0  983.0
16.96  907.0  983.0
16.979  857.0  1018.0
16.999  820.0  1022.0
17.039  938.0  1023.0
17.059  813.0  1023.0
17.059  813.0  1023.0
17.081  908.0  1023.0
17.099  972.0  1023.0
17.099  972.0  1023.0
17.12  830.0  1023.0
17.139  889.0  1007.0
17.16  845.0  975.0
17.179  816.0  985.0
17.199  791.0  970.0
17.199  791.0  970.0
17.241  840.0  1003.0
17.241  840.0  1003.0
17.26  908.0  985.0
17.281  885.0  1012.0
17.319  932.0  1021.0
17.34  815.0  1023.0
17.34  815.0  1023.0
17.36  878.0  987.0
17.381  802.0  1023.0
17.4  864.0  1023.0
17.4  864.0  1023.0
17.421  831.0  1023.0
17.44  802.0  1023.0
17.461  780.0  1023.0
17.48  826.0  1023.0
17.48  826.0  1023.0
17.501  700.0  1023.0
17.521  816.0  1023.0
17.54  841.0  1023.0
17.561  758.0  1023.0
17.561  758.0  1023.0
17.582  833.0  1023.0
17.601  837.0  1011.0
17.62  801.0  1017.0
17.641  737.0  1023.0
17.641  737.0  1023.0
17.66  809.0  1023.0
17.682  779.0  1023.0
17.72  793.0  1023.0
17.74  621.0  1023.0
17.74  621.0  1023.0
